Affiliations                                 	   Record Count	       % of 2,094
ZAGAZIG UNIVERSITY                           	              6	     0.287
CHOSUN UNIVERSITY                            	              5	     0.239
CITY UNIVERSITY OF HONG KONG                 	              5	     0.239
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENC	              5	     0.239
ES INSIS                                     	               	          
DREXEL UNIVERSITY                            	              5	     0.239
ETH ZURICH                                   	              5	     0.239
FUJIAN UNIVERSITY OF TECHNOLOGY              	              5	     0.239
GUANGDONG LOW CARBON TECHNOL ENGN CTR BLDG MA	              5	     0.239
T                                            	               	          
HARVARD UNIVERSITY                           	              5	     0.239
HUBEI UNIVERSITY OF TECHNOLOGY               	              5	     0.239
KYOTO UNIVERSITY                             	              5	     0.239
MUSTAFA KEMAL UNIVERSITY                     	              5	     0.239
NANJING UNIVERSITY OF AERONAUTICS ASTRONAUTIC	              5	     0.239
S                                            	               	          
NORTHWESTERN POLYTECHNICAL UNIVERSITY        	              5	     0.239
SEJONG UNIVERSITY                            	              5	     0.239
SHANDONG UNIVERSITY OF AERONAUTICS           	              5	     0.239
SHENZHEN INSTITUTE OF INFORMATION TECHNOLOGY 	              5	     0.239
TSINGHUA UNIVERSITY                          	              5	     0.239
ULSAN NATIONAL INSTITUTE OF SCIENCE TECHNOLOG	              5	     0.239
Y UNIST                                      	               	          
UNIVERSITE DE LILLE                          	              5	     0.239
UNIVERSITI MALAYA                            	              5	     0.239
UNIVERSITI PUTRA MALAYSIA                    	              5	     0.239
UNIVERSITY OF BRITISH COLUMBIA               	              5	     0.239
UNIVERSITY OF DERBY                          	              5	     0.239
UNIVERSITY OF ENGINEERING TECHNOLOGY TAXILA  	              5	     0.239
UNIVERSITY OF GLASGOW                        	              5	     0.239
UNIVERSITY OF OTTAWA                         	              5	     0.239
UNIVERSITY OF SCIENCE TECHNOLOGY BEIJING     	              5	     0.239
UNIVERSITY OF SHANGHAI FOR SCIENCE TECHNOLOGY	              5	     0.239
