Affiliations                                 	   Record Count	      % of 10,494
UNIVERSITI MALAYA                            	             17	     0.162
UNIVERSITY OF AUCKLAND                       	             17	     0.162
UNIVERSITY OF JINAN                          	             17	     0.162
UNIVERSITY OF SYDNEY                         	             17	     0.162
UNIVERSITY SYSTEM OF MARYLAND                	             17	     0.162
BEIJING TECHNOLOGY BUSINESS UNIVERSITY       	             16	     0.152
DREXEL UNIVERSITY                            	             16	     0.152
FUJIAN NORMAL UNIVERSITY                     	             16	     0.152
HIROSHIMA UNIVERSITY                         	             16	     0.152
JAPAN SCIENCE TECHNOLOGY AGENCY JST          	             16	     0.152
LANZHOU CITY UNIVERSITY                      	             16	     0.152
NATIONAL YANG MING CHIAO TUNG UNIVERSITY     	             16	     0.152
NETHERLANDS ORGANIZATION APPLIED SCIENCE RESE	             16	     0.152
ARCH                                         	               	          
PACIFIC NORTHWEST NATIONAL LABORATORY        	             16	     0.152
QUEENSLAND UNIVERSITY OF TECHNOLOGY QUT      	             16	     0.152
SAINT PETERSBURG STATE UNIVERSITY            	             16	     0.152
UNITED STATES AIR FORCE                      	             16	     0.152
UNIVERSITE GRENOBLE ALPES UGA                	             16	     0.152
UNIVERSITE LIBRE DE BRUXELLES                	             16	     0.152
UNIVERSITY OF MONS                           	             16	     0.152
UNIVERSITY OF PENNSYLVANIA                   	             16	     0.152
UNIVERSITY OF PITTSBURGH                     	             16	     0.152
UNIVERSITY OF READING                        	             16	     0.152
UNIVERSITY OF WISCONSIN MILWAUKEE            	             16	     0.152
ANHUI AGRICULTURAL UNIVERSITY                	             15	     0.143
AUSTRALIAN NATIONAL UNIVERSITY               	             15	     0.143
CARDIFF UNIVERSITY                           	             15	     0.143
CHENGDU INSTITUTE OF BIOLOGY CAS             	             15	     0.143
CHUNGNAM NATIONAL UNIVERSITY                 	             15	     0.143
CSIC INSTITUTO DE CIENCIA TECNOLOGIA DE POLIM	             15	     0.143
EROS ICTP                                    	               	          
CZECH ACADEMY OF SCIENCES                    	             15	     0.143
IMPERIAL COLLEGE LONDON                      	             15	     0.143
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE   	             15	     0.143
INDIAN INSTITUTE OF TECHNOLOGY IIT DELHI     	             15	     0.143
ISTITUTO ITALIANO DI TECNOLOGIA IIT          	             15	     0.143
KAVAYITRI BAHINABAI CHAUDHARI NORTH MAHARASHT	             15	     0.143
RA UNIVERSITY JALGAON                        	               	          
KHALIFA UNIVERSITY OF SCIENCE TECHNOLOGY     	             15	     0.143
LOMONOSOV MOSCOW STATE UNIVERSITY            	             15	     0.143
SHENZHEN INSTITUTE OF ADVANCED ELECTRONIC MAT	             15	     0.143
ERIALS                                       	               	          
SOUTHERN MEDICAL UNIVERSITY CHINA            	             15	     0.143
ST PETERSBURG SCIENTIFIC CENTRE OF THE RUSSIA	             15	     0.143
N ACADEMY OF SCIENCES                        	               	          
UNIVERSIDADE DE AVEIRO                       	             15	     0.143
UNIVERSIDADE DE SAO PAULO                    	             15	     0.143
UNIVERSITE DE MONTPELLIER                    	             15	     0.143
UNIVERSITI SAINS MALAYSIA                    	             15	     0.143
UNIVERSITY OF NORTH CAROLINA                 	             15	     0.143
UNIVERSITY OF SHEFFIELD                      	             15	     0.143
UNIVERSITY OF WASHINGTON                     	             15	     0.143
UNIVERSITY OF WASHINGTON SEATTLE             	             15	     0.143
UNIVERSITY OF WATERLOO                       	             15	     0.143
UTAH SYSTEM OF HIGHER EDUCATION              	             15	     0.143
BEIJING UNIVERSITY OF TECHNOLOGY             	             14	     0.133
CEA                                          	             14	     0.133
