sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
NZ;PCT/US2023/066436;816714;G;;
NZ;PCT/US2023/028124;817231;G;;
NZ;PCT/US2023/067927;816899;R;;
NZ;PCT/ES2023/070358;817303;R;;
NZ;PCT/US2023/026140;817168;W;;
NZ;PCT/EP2023/064065;817230;W;;
NZ;PCT/AU2023/050469;816941;W;;
NZ;PCT/US2023/023057;816792;C;;
NZ;PCT/CN2023/103952;816873;C;;
NZ;PCT/EP2023/062453;817026;C;;
NZ;PCT/IB2023/054969;816740;D;;
NZ;PCT/US2023/069334;817458;D;;
NZ;PCT/EP2023/072377;817277;D;;
NZ;PCT/US2023/022681;817291;D;;
NZ;PCT/NZ2023/050052;816044;G;;
NZ;PCT/CN2022/107593;817361;G;;
NZ;PCT/EP2023/063472;816883;R;;
NZ;PCT/AU2022/050817;816901;R;;
NZ;PCT/US2023/024944;817032;R;;
NZ;PCT/EP2023/066436;816433;W;;
NZ;PCT/US2023/021060;816587;W;;
NZ;PCT/US2023/067918;817151;W;;
NZ;PCT/US2023/068806;816903;C;;
NZ;PCT/EP2023/066647;817324;C;;
NZ;PCT/US2023/069102;817412;D;;
NZ;PCT/US2023/068925;817239;D;;
NZ;PCT/AU2023/050488;816977;D;;
NZ;PCT/IB2023/056620;816861;G;;
NZ;PCT/NL2023/050273;817257;G;;
NZ;PCT/EP2023/069299;817147;G;;
NZ;PCT/US2023/023586;816849;R;;
NZ;PCT/US2023/070306;816882;R;;
NZ;PCT/US2023/067064;817192;R;;
NZ;PCT/EP2023/062404;816820;W;;
NZ;PCT/US2023/068555;817328;W;;
NZ;PCT/AU2023/050470;817417;C;;
NZ;PCT/US2021/022322;817031;C;;
NZ;PCT/EP2023/068805;816985;C;;
NZ;PCT/IB2023/054777;816769;D;;
NZ;PCT/EP2023/065236;817228;D;;
NZ;PCT/US2023/026527;817070;D;;
NZ;PCT/EP2023/067952;817329;G;;
NZ;PCT/CN2023/099267;816972;G;;
NZ;PCT/GB2023/051292;817094;G;;
NZ;PCT/EP2023/070938;816871;R;;
NZ;PCT/EP2023/065608;817349;R;;
NZ;PCT/EP2023/068443;816876;W;;
NZ;PCT/IB2022/056438;817137;W;;
NZ;PCT/GB2023/051230;816934;W;;
NZ;PCT/EP2023/062589;816801;C;;
NZ;PCT/US2023/024152;816874;C;;
NZ;PCT/CN2023/098264;817040;C;;
NZ;PCT/US2023/068586;816855;D;;
NZ;PCT/NZ2023/050060;816866;C;;
NZ;PCT/IB2023/056513;817200;C;;
NZ;PCT/EP2023/062499;817028;D;;
NZ;PCT/US2023/025987;817318;D;;
NZ;PCT/EP2023/062582;816812;G;;
NZ;PCT/US2023/074061;817387;G;;
NZ;PCT/IL2023/050449;816739;R;;
NZ;PCT/EP2023/072293;817202;R;;
NZ;PCT/KR2023/008062;817111;R;;
NZ;PCT/AU2023/050609;817342;W;;
NZ;PCT/EP2023/065438;817011;W;;
NZ;PCT/US2023/069124;817201;W;;
NZ;PCT/US2023/067250;816852;C;;
NZ;PCT/US2023/067487;817357;C;;
NZ;PCT/GB2023/051229;816857;D;;
NZ;PCT/US2023/022390;817130;D;;
NZ;PCT/US2023/069448;817007;D;;
NZ;PCT/CN2023/094714;816799;G;;
NZ;PCT/US2023/027013;817314;G;;
NZ;PCT/CA2023/050698;817119;G;;
NZ;PCT/FI2023/050413;816738;R;;
NZ;PCT/US2023/024898;817123;R;;
NZ;PCT/US2023/022733;817206;R;;
NZ;PCT/AU2023/050384;817008;W;;
NZ;PCT/US2023/025780;817354;W;;
NZ;PCT/IB2023/056626;816862;C;;
NZ;PCT/US2022/033213;816842;C;;
NZ;PCT/US2023/067008;817034;C;;
NZ;PCT/US2023/068310;816827;D;;
NZ;PCT/US2023/068329;816834;D;;
NZ;PCT/US2023/024711;817101;D;;
NZ;PCT/EP2023/071064;816836;G;;
NZ;PCT/NZ2023/050082;817143;G;;
NZ;PCT/SE2023/050641;817189;G;;
NZ;PCT/CN2023/098081;816973;R;;
NZ;PCT/US2023/027741;817376;R;;
NZ;PCT/IB2023/056611;816867;W;;
NZ;PCT/US2023/027420;816815;W;;
NZ;PCT/US2023/068426;817078;W;;
NZ;PCT/CN2023/098076;816847;C;;
NZ;PCT/AU2023/050482;816717;W;;
NZ;PCT/AU2023/050641;817275;W;;
NZ;PCT/AU2023/050454;817122;W;;
NZ;PCT/GB2023/051401;816752;C;;
NZ;PCT/JP2023/021978;817150;C;;
NZ;PCT/CN2024/095625;817227;C;;
NZ;PCT/US2023/067915;817113;D;;
NZ;PCT/US2023/069857;817366;D;;
NZ;PCT/US2023/070897;817330;G;;
NZ;PCT/US2023/068831;817186;G;;
NZ;PCT/US2023/025384;817374;G;;
NZ;PCT/US2023/027009;816802;R;;
NZ;PCT/US2023/024073;816719;R;;
NZ;PCT/IB2023/057033;817110;R;;
NZ;PCT/US2023/069410;816832;W;;
NZ;PCT/US2023/027438;817176;W;;
NZ;PCT/SE2023/050643;817197;W;;
NZ;PCT/CN2023/103576;817128;C;;
NZ;PCT/KR2023/006480;816893;C;;
NZ;PCT/KR2023/009159;816324;D;;
NZ;PCT/CN2023/111270;816840;D;;
NZ;PCT/US2023/068408;817086;D;;
NZ;PCT/DK2023/050129;816716;G;;
NZ;PCT/IB2023/056622;816845;G;;
NZ;PCT/EP2023/072376;817148;G;;
NZ;PCT/US2023/066349;816713;R;;
NZ;PCT/US2023/069704;817390;R;;
NZ;PCT/US2023/027456;817248;R;;
NZ;PCT/EP2023/069447;816835;W;;
NZ;PCT/CN2023/101761;817391;W;;
NZ;PCT/CN2023/098011;816766;C;;
NZ;PCT/SE2023/050642;817195;C;;
NZ;PCT/EP2023/067403;817064;C;;
NZ;PCT/US2023/021180;816188;D;;
NZ;PCT/JP2023/022590;817069;D;;
NZ;PCT/EP2023/065235;817121;D;;
NZ;PCT/GB2023/051492;816786;G;;
NZ;PCT/NO2023/060015;817441;G;;
NZ;PCT/CN2023/101302;817409;R;;
NZ;PCT/US2023/026528;817068;R;;
NZ;PCT/EP2023/071118;817421;R;;
NZ;PCT/US2023/023949;817322;G;;
NZ;PCT/US2023/025389;817399;R;;
NZ;PCT/EP2023/065991;817236;R;;
NZ;PCT/EP2023/064749;816886;R;;
NZ;PCT/US2023/022990;816680;W;;
NZ;PCT/EP2023/062066;816853;W;;
NZ;PCT/AU2023/050582;817038;W;;
NZ;PCT/CA2023/050660;816715;C;;
NZ;PCT/IB2023/056049;817420;C;;
NZ;PCT/KR2023/000398;817270;C;;
NZ;PCT/EP2023/064873;817039;D;;
NZ;PCT/EP2023/067803;817403;D;;
NZ;PCT/US2023/068832;817368;G;;
NZ;PCT/US2023/070016;817284;G;;
NZ;PCT/AU2023/050583;816978;G;;
NZ;PCT/EP2023/069087;816725;R;;
NZ;PCT/US2022/035254;817075;R;;
NZ;PCT/JP2023/018892;817055;R;;
NZ;PCT/AU2023/050490;816793;W;;
NZ;PCT/US2023/025385;817402;W;;
NZ;PCT/US2023/069801;817388;C;;
NZ;PCT/US2023/023445;816971;C;;
NZ;PCT/AU2023/050619;817429;C;;
NZ;PCT/AU2023/050395;816757;D;;
NZ;PCT/US2023/065519;817336;D;;
NZ;PCT/NO2023/050089;817126;D;;
NZ;PCT/IB2023/054044;816797;G;;
NZ;PCT/US2023/024723;817252;G;;
NZ;PCT/CN2023/102500;816991;G;;
NZ;PCT/IB2023/056152;816818;R;;
NZ;PCT/IB2023/000312;817229;R;;
NZ;PCT/CN2023/099158;817396;W;;
NZ;PCT/EP2023/069483;817193;W;;
NZ;PCT/EP2023/065558;817457;W;;
NZ;PCT/GB2023/051260;816569;C;;
NZ;PCT/GB2023/051183;816814;C;;
NZ;PCT/US2023/067220;817114;C;;
NZ;PCT/US2023/022104;816760;D;;
NZ;PCT/US2023/025457;817188;D;;
NZ;PCT/EP2023/063844;817243;D;;
NZ;PCT/US2023/069331;816858;G;;
NZ;PCT/US2023/067013;817124;G;;
NZ;PCT/GB2023/051298;817205;G;;
NZ;PCT/US2023/026081;816848;R;;
NZ;PCT/US2023/068006;817074;R;;
NZ;PCT/GB2023/051612;816896;R;;
NZ;PCT/EP2023/055328;816806;W;;
NZ;PCT/GB2023/051668;817338;W;;
NZ;PCT/CN2023/098241;816992;W;;
NZ;PCT/EP2023/067939;816869;C;;
NZ;PCT/IB2023/000335;817315;C;;
NZ;PCT/US2023/076475;817433;D;;
NZ;PCT/SE2023/050644;817198;D;;
NZ;PCT/GB2023/051489;817415;D;;
NZ;PCT/US2023/023307;816877;G;;
NZ;PCT/US2023/024617;817037;G;;
NZ;PCT/US2023/067996;817013;G;;
NZ;PCT/US2023/069132;816817;R;;
NZ;PCT/US2023/066436;816714;R;;
NZ;PCT/US2023/028124;817231;R;;
NZ;PCT/US2023/067927;816899;W;;
NZ;PCT/ES2023/070358;817303;W;;
NZ;PCT/US2023/026140;817168;C;;
NZ;PCT/EP2023/064065;817230;C;;
NZ;PCT/AU2023/050469;816941;C;;
NZ;PCT/US2023/023057;816792;D;;
NZ;PCT/CN2023/103952;816873;D;;
NZ;PCT/EP2023/062453;817026;D;;
NZ;PCT/EP2023/067987;816816;G;;
NZ;PCT/EP2023/070918;816872;G;;
NZ;PCT/US2023/068665;817187;G;;
NZ;PCT/US2023/022098;816771;R;;
NZ;PCT/IB2023/056283;817296;R;;
NZ;PCT/US2023/026769;817407;W;;
NZ;PCT/NO2023/060008;817254;W;;
NZ;PCT/EP2023/068358;816983;W;;
NZ;PCT/US2023/021150;816773;C;;
NZ;PCT/EP2023/067805;817273;C;;
NZ;PCT/US2023/066825;816945;C;;
